N	N	N	N	S	S	S	AR	BR	XW	YR	YW	ALW	IPW	ARR	IRR	RR	RW	IMW	B	ALI	ALI	ALI	CODE
1	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	 
1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 
1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	str <x>, <y>
1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	 
1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	 
1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	 
1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 
1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	sta <x>, <address>
1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	 
1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	 
1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	 
1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 
1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	test <x>, <y>
1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	 
1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	 
1	1	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	 
1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	 
1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 
1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	shv <imm>, <y>
1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	 
1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0  
1	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0  
1	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0  
1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0  
